ssd,current_spot_price
2016-07-05,1624.0
2016-07-06,1624.0
2016-07-07,1637.0
2016-07-08,1640.0
2016-07-11,1653.0
2016-07-12,1646.0
2016-07-13,1670.0
2016-07-14,1672.0
2016-07-15,1682.0
2016-07-18,1645.0
2016-07-19,1643.0
2016-07-20,1609.0
2016-07-21,1594.0
2016-07-22,1600.0
2016-07-25,1601.0
2016-07-26,1590.0
2016-07-27,1584.0
2016-07-28,1598.0
2016-07-29,1616.0
2016-08-01,1646.0
2016-08-02,1636.0
2016-08-03,1620.0
2016-08-04,1616.0
2016-08-05,1628.0
2016-08-08,1645.0
2016-08-09,1626.0
2016-08-10,1646.0
2016-08-11,1630.0
2016-08-12,1635.0
2016-08-15,1644.0
2016-08-16,1676.0
2016-08-17,1686.0
2016-08-18,1690.0
2016-08-19,1648.0
2016-08-22,1652.0
2016-08-23,1653.0
2016-08-24,1656.0
2016-08-25,1624.0
2016-08-26,1628.0
2016-08-29,1628.0
2016-08-30,1628.0
2016-08-31,1601.0
2016-09-01,1587.0
2016-09-02,1592.0
2016-09-05,1568.0
2016-09-06,1574.0
2016-09-07,1582.0
2016-09-08,1566.0
2016-09-09,1568.0
2016-09-12,1546.0
2016-09-13,1556.0
2016-09-14,1552.0
2016-09-15,1560.0
2016-09-16,1560.0
2016-09-19,1558.0
2016-09-20,1563.0
2016-09-21,1570.0
2016-09-22,1612.0
2016-09-23,1638.0
2016-09-26,1620.0
2016-09-27,1648.0
2016-09-28,1648.0
2016-09-29,1653.0
2016-09-30,1658.0
2016-10-03,1650.0
2016-10-04,1670.0
2016-10-05,1662.0
2016-10-06,1668.0
2016-10-07,1675.0
2016-10-10,1678.0
2016-10-11,1684.0
2016-10-12,1682.5
2016-10-13,1681.0
2016-10-14,1685.0
2016-10-17,1645.0
2016-10-18,1664.0
2016-10-19,1622.0
2016-10-20,1612.0
2016-10-21,1619.0
2016-10-24,1626.0
2016-10-25,1651.0
2016-10-26,1673.0
2016-10-27,1682.0
2016-10-28,1702.0
2016-10-31,1723.0
2016-11-01,1732.0
2016-11-02,1709.0
2016-11-03,1726.0
2016-11-04,1718.0
2016-11-07,1712.0
2016-11-08,1706.0
2016-11-09,1738.0
2016-11-10,1772.0
2016-11-11,1777.0
2016-11-14,1765.0
2016-11-15,1727.0
2016-11-16,1719.0
2016-11-17,1692.0
2016-11-18,1712.0
2016-11-21,1726.0
2016-11-22,1739.0
2016-11-23,1766.0
2016-11-24,1774.0
2016-11-25,1751.0
2016-11-28,1766.0
